date,M1SL
1998-05-31,1076.5
1998-06-30,1079.1
1998-07-31,1076.3
1998-08-31,1075.1
1998-09-30,1075.9
1998-10-31,1079.9
1998-11-30,1086.0
1998-12-31,1094.9
1999-01-31,1095.0
1999-02-28,1098.1
1999-03-31,1096.7
1999-04-30,1096.6
1999-05-31,1101.6
1999-06-30,1103.8
1999-07-31,1099.8
1999-08-31,1099.1
1999-09-30,1099.2
1999-10-31,1096.5
1999-11-30,1103.3
1999-12-31,1110.7
2000-01-31,1122.2
2000-02-29,1122.1
2000-03-31,1108.6
2000-04-30,1107.5
2000-05-31,1115.6
2000-06-30,1104.9
2000-07-31,1102.6
2000-08-31,1103.5
2000-09-30,1100.2
2000-10-31,1099.7
2000-11-30,1098.7
2000-12-31,1092.4
2001-01-31,1088.6
2001-02-28,1096.7
2001-03-31,1101.2
2001-04-30,1108.9
2001-05-31,1116.7
2001-06-30,1118.5
2001-07-31,1126.2
2001-08-31,1138.9
2001-09-30,1150.2
2001-10-31,1205.7
2001-11-30,1165.7
2001-12-31,1171.0
2002-01-31,1183.2
2002-02-28,1190.7
2002-03-31,1190.6
2002-04-30,1193.3
2002-05-31,1186.9
2002-06-30,1189.3
2002-07-31,1193.3
2002-08-31,1199.1
2002-09-30,1187.1
2002-10-31,1196.1
2002-11-30,1204.0
2002-12-31,1209.6
2003-01-31,1220.2
2003-02-28,1227.3
2003-03-31,1238.2
2003-04-30,1239.3
2003-05-31,1250.0
2003-06-30,1268.8
2003-07-31,1281.0
2003-08-31,1287.5
2003-09-30,1296.4
2003-10-31,1297.2
2003-11-30,1297.8
2003-12-31,1299.1
2004-01-31,1306.2
2004-02-29,1306.0
2004-03-31,1321.4
2004-04-30,1328.7
2004-05-31,1332.8
2004-06-30,1333.3
2004-07-31,1342.7
2004-08-31,1340.8
2004-09-30,1354.3
2004-10-31,1362.5
2004-11-30,1362.3
2004-12-31,1374.2
2005-01-31,1376.0
2005-02-28,1367.1
2005-03-31,1371.1
2005-04-30,1370.9
2005-05-31,1358.4
2005-06-30,1366.0
2005-07-31,1380.1
2005-08-31,1369.0
2005-09-30,1377.8
2005-10-31,1378.6
2005-11-30,1376.5
2005-12-31,1376.1
2006-01-31,1374.3
2006-02-28,1379.5
2006-03-31,1378.4
2006-04-30,1383.2
2006-05-31,1381.4
2006-06-30,1387.2
2006-07-31,1375.4
2006-08-31,1372.4
2006-09-30,1372.4
2006-10-31,1364.4
2006-11-30,1370.3
2006-12-31,1370.8
2007-01-31,1366.6
2007-02-28,1371.7
2007-03-31,1363.0
2007-04-30,1366.5
2007-05-31,1378.0
2007-06-30,1380.9
2007-07-31,1368.2
2007-08-31,1371.8
2007-09-30,1376.3
2007-10-31,1375.7
2007-11-30,1379.4
2007-12-31,1371.8
2008-01-31,1373.4
2008-02-29,1377.7
2008-03-31,1380.4
2008-04-30,1388.7
2008-05-31,1391.4
2008-06-30,1393.4
2008-07-31,1404.6
2008-08-31,1421.1
2008-09-30,1407.4
2008-10-31,1462.0
2008-11-30,1473.8
2008-12-31,1514.6
2009-01-31,1601.7
2009-02-28,1582.8
2009-03-31,1567.2
2009-04-30,1578.9
2009-05-31,1611.6
2009-06-30,1617.5
2009-07-31,1658.8
2009-08-31,1662.5
2009-09-30,1660.0
2009-10-31,1664.9
2009-11-30,1677.7
2009-12-31,1683.0
2010-01-31,1692.8
2010-02-28,1674.7
2010-03-31,1699.8
2010-04-30,1711.9
2010-05-31,1699.0
2010-06-30,1710.1
2010-07-31,1731.6
2010-08-31,1724.0
2010-09-30,1748.7
2010-10-31,1766.2
2010-11-30,1780.4
2010-12-31,1828.4
2011-01-31,1836.7
2011-02-28,1846.3
2011-03-31,1870.1
2011-04-30,1896.5
2011-05-31,1897.0
2011-06-30,1941.6
2011-07-31,1963.4
2011-08-31,1996.0
2011-09-30,2115.4
2011-10-31,2120.0
2011-11-30,2128.5
2011-12-31,2182.0
2012-01-31,2165.7
2012-02-29,2197.6
2012-03-31,2209.8
2012-04-30,2232.4
2012-05-31,2244.2
2012-06-30,2260.3
2012-07-31,2281.7
2012-08-31,2313.6
2012-09-30,2350.9
2012-10-31,2382.4
2012-11-30,2415.2
2012-12-31,2435.9
2013-01-31,2459.4
2013-02-28,2471.6
2013-03-31,2474.0
2013-04-30,2482.1
2013-05-31,2513.2
2013-06-30,2531.9
2013-07-31,2532.6
2013-08-31,2541.8
2013-09-30,2553.7
2013-10-31,2581.1
2013-11-30,2620.0
2013-12-31,2630.5
2014-01-31,2662.9
2014-02-28,2696.6
2014-03-31,2728.4
2014-04-30,2755.1
2014-05-31,2777.7
2014-06-30,2794.3
2014-07-31,2829.5
2014-08-31,2840.0
2014-09-30,2803.6
2014-10-31,2861.4
2014-11-30,2868.3
2014-12-31,2886.3
2015-01-31,2939.4
2015-02-28,2941.0
2015-03-31,3009.3
2015-04-30,3002.2
2015-05-31,3001.4
2015-06-30,2983.7
2015-07-31,3020.5
2015-08-31,3038.0
2015-09-30,3028.4
2015-10-31,3043.0
2015-11-30,3017.0
2015-12-31,3081.2
2016-01-31,3096.3
2016-02-29,3099.9
2016-03-31,3133.4
2016-04-30,3157.2
2016-05-31,3199.2
2016-06-30,3237.3
2016-07-31,3244.1
2016-08-31,3242.5
2016-09-30,3315.7
2016-10-31,3322.6
2016-11-30,3330.3
2016-12-31,3354.7
2017-01-31,3345.4
2017-02-28,3398.2
2017-03-31,3411.3
2017-04-30,3456.2
2017-05-31,3450.1
2017-06-30,3512.8
2017-07-31,3520.9
2017-08-31,3541.8
2017-09-30,3580.3
2017-10-31,3563.4
2017-11-30,3601.2
2017-12-31,3631.9
2018-01-31,3618.9
2018-02-28,3668.4
2018-03-31,3633.9
2018-04-30,3672.5
2018-05-31,3653.6
2018-06-30,3646.2
2018-07-31,3644.7
2018-08-31,3669.2
2018-09-30,3682.7
2018-10-31,3692.3
2018-11-30,3721.5
2018-12-31,3708.4
2019-01-31,3771.2
2019-02-28,3772.9
2019-03-31,3783.4
2019-04-30,3746.4
2019-05-31,3770.6
2019-06-30,3775.4
2019-07-31,3813.4
2019-08-31,3844.8
2019-09-30,3844.0
2019-10-31,3887.7
2019-11-30,3926.1
2019-12-31,3955.6
2020-01-31,4011.2
2020-02-29,4019.2
2020-03-31,4028.4
2020-04-30,4281.3
2020-05-31,4774.4
2020-06-30,16262.0
2020-07-31,16583.8
2020-08-31,16773.8
2020-09-30,16887.0
2020-10-31,17156.8
2020-11-30,17346.8
2020-12-31,17589.1
2021-01-31,17812.4
2021-02-28,18100.7
2021-03-31,18389.4
2021-04-30,18669.2
2021-05-31,18927.5
2021-06-30,19209.0
2021-07-31,19255.9
2021-08-31,19420.0
2021-09-30,19695.0
2021-10-31,19874.8
2021-11-30,20083.5
2021-12-31,20345.0
