date,M1SL
1986-12-31,705.4
1987-01-31,724.7
1987-02-28,730.2
1987-03-31,730.7
1987-04-30,733.8
1987-05-31,743.9
1987-06-30,745.8
1987-07-31,743.2
1987-08-31,743.0
1987-09-30,744.9
1987-10-31,747.6
1987-11-30,756.2
1987-12-31,753.2
1988-01-31,750.2
1988-02-29,756.2
1988-03-31,757.7
1988-04-30,761.8
1988-05-31,768.1
1988-06-30,771.7
1988-07-31,778.3
1988-08-31,781.4
1988-09-30,783.3
1988-10-31,783.7
1988-11-30,783.3
1988-12-31,784.9
1989-01-31,786.7
1989-02-28,785.7
1989-03-31,783.8
1989-04-30,783.0
1989-05-31,779.2
1989-06-30,775.0
1989-07-31,773.5
1989-08-31,777.8
1989-09-30,779.4
1989-10-31,781.0
1989-11-30,786.6
1989-12-31,787.9
1990-01-31,792.9
1990-02-28,795.4
1990-03-31,798.1
1990-04-30,801.5
1990-05-31,806.1
1990-06-30,804.2
1990-07-31,808.8
1990-08-31,810.1
1990-09-30,815.7
1990-10-31,820.2
1990-11-30,819.9
1990-12-31,822.1
1991-01-31,824.7
1991-02-28,827.2
1991-03-31,832.6
1991-04-30,838.7
1991-05-31,843.1
1991-06-30,848.8
1991-07-31,856.7
1991-08-31,861.6
1991-09-30,866.8
1991-10-31,869.7
1991-11-30,878.0
1991-12-31,887.6
1992-01-31,897.0
1992-02-29,910.4
1992-03-31,925.2
1992-04-30,936.7
1992-05-31,943.8
1992-06-30,950.6
1992-07-31,954.3
1992-08-31,963.3
1992-09-30,973.7
1992-10-31,988.0
1992-11-30,1003.7
1992-12-31,1015.7
1993-01-31,1024.9
1993-02-28,1030.4
1993-03-31,1033.5
1993-04-30,1038.4
1993-05-31,1047.6
1993-06-30,1065.9
1993-07-31,1075.1
1993-08-31,1084.6
1993-09-30,1094.2
1993-10-31,1104.2
1993-11-30,1113.1
1993-12-31,1124.1
1994-01-31,1129.6
1994-02-28,1131.6
1994-03-31,1136.3
1994-04-30,1140.1
1994-05-31,1141.1
1994-06-30,1143.3
1994-07-31,1145.2
1994-08-31,1150.7
1994-09-30,1150.6
1994-10-31,1151.9
1994-11-30,1150.2
1994-12-31,1150.9
1995-01-31,1150.7
1995-02-28,1151.4
1995-03-31,1147.4
1995-04-30,1146.7
1995-05-31,1149.3
1995-06-30,1145.3
1995-07-31,1144.2
1995-08-31,1145.5
1995-09-30,1145.4
1995-10-31,1142.0
1995-11-30,1137.3
1995-12-31,1134.1
1996-01-31,1127.5
1996-02-29,1123.5
1996-03-31,1118.5
1996-04-30,1122.6
1996-05-31,1124.8
1996-06-30,1116.5
1996-07-31,1115.2
1996-08-31,1112.4
1996-09-30,1101.6
1996-10-31,1096.2
1996-11-30,1085.7
1996-12-31,1083.5
1997-01-31,1081.3
1997-02-28,1081.2
1997-03-31,1078.8
1997-04-30,1072.5
1997-05-31,1063.9
1997-06-30,1063.8
1997-07-31,1066.1
1997-08-31,1065.5
1997-09-30,1075.3
1997-10-31,1066.9
1997-11-30,1065.6
1997-12-31,1070.9
1998-01-31,1072.3
1998-02-28,1074.0
1998-03-31,1077.8
1998-04-30,1076.9
